HK_PAR,Description
CAL_RCL,Description not available yet
CAL_STO,Description not available yet
CPUID,Description not available yet
CPU_TEMP,Description not available yet
CW_KEY[4FFB],Description not available yet
CW_POL,Description not available yet
DAC_STAT,Description not available yet
DEVSZ,Description not available yet
FWID,Description not available yet
FWREV,Description not available yet
HK_CONV,Description not available yet
HK_COUNT,Description not available yet
HK_DATA,Description not available yet
HK_MUX,Description not available yet
HK_PGA,Description not available yet
HK_POL,Description not available yet
HK_SCAN,Description not available yet
ID0_DIV,Description not available yet
ID0_MUL,Description not available yet
ID0_SUM,Description not available yet
ID1_DIV,Description not available yet
ID1_MUL,Description not available yet
ID1_SUM,Description not available yet
ID2_DIV,Description not available yet
ID2_MUL,Description not available yet
ID2_SUM,Description not available yet
ID3_DIV,Description not available yet
ID3_MUL,Description not available yet
ID3_SUM,Description not available yet
ID4_DIV,Description not available yet
ID4_MUL,Description not available yet
ID4_SUM,Description not available yet
ID5_DIV,Description not available yet
ID5_MUL,Description not available yet
ID5_SUM,Description not available yet
IG0_DIV,Description not available yet
IG0_MUL,Description not available yet
IG0_SUM,Description not available yet
IG1_DIV,Description not available yet
IG1_MUL,Description not available yet
IG1_SUM,Description not available yet
IG2_DIV,Description not available yet
IG2_MUL,Description not available yet
IG2_SUM,Description not available yet
IG3_DIV,Description not available yet
IG3_MUL,Description not available yet
IG3_SUM,Description not available yet
IG4A_DIV,Description not available yet
IG4A_MUL,Description not available yet
IG4A_SUM,Description not available yet
IG4_DIV,Description not available yet
IG4_MUL,Description not available yet
IG4_SUM,Description not available yet
IG5A_DIV,Description not available yet
IG5A_MUL,Description not available yet
IG5_DIV,Description not available yet
IG5_MUL,Description not available yet
IG5_SUM,Description not available yet
IP0_DIV,Description not available yet
IP0_MUL,Description not available yet
IP0_SUM,Description not available yet
IP1_DIV,Description not available yet
IP1_MUL,Description not available yet
IP1_SUM,Description not available yet
IP2_DIV,Description not available yet
IP2_MUL,Description not available yet
IP2_SUM,Description not available yet
IP3_DIV,Description not available yet
IP3_MUL,Description not available yet
IP3_SUM,Description not available yet
PCBID,Description not available yet
PHASE_SRC,Description not available yet
POL_RCL,Description not available yet
POL_STO,Description not available yet
PWR_PAT,Description not available yet
PWR_STAT,Description not available yet
REVID,Description not available yet
RFS0_FLG,Description not available yet
RFS1_FLG,Description not available yet
RFS2_FLG,Description not available yet
RFS3_FLG,Description not available yet
RFS4_FLG,Description not available yet
START_BIAS,Description not available yet
START_PWR,Description not available yet
START_RCL_DIS,Description not available yet
SYS_RCL,Description not available yet
SYS_STO,Description not available yet
UID0,Description not available yet
UID1,Description not available yet
UID2,Description not available yet
UID3,Description not available yet
UID4,Description not available yet
UID5,Description not available yet
VD0_DIV,Description not available yet
VD0_MUL,Description not available yet
VD0_SUM,Description not available yet
VD1_DIV,Description not available yet
VD1_MUL,Description not available yet
VD1_SUM,Description not available yet
VD2_DIV,Description not available yet
VD2_MUL,Description not available yet
VD2_SUM,Description not available yet
VD3_DIV,Description not available yet
VD3_MUL,Description not available yet
VD3_SUM,Description not available yet
VD4_DIV,Description not available yet
VD4_MUL,Description not available yet
VD4_SUM,Description not available yet
VD5_DIV,Description not available yet
VD5_MUL,Description not available yet
VD5_SUM,Description not available yet
VG0_DIV,Description not available yet
VG0_MUL,Description not available yet
VG0_SUM,Description not available yet
VG1_DIV,Description not available yet
VG1_MUL,Description not available yet
VG1_SUM,Description not available yet
VG2_DIV,Description not available yet
VG2_MUL,Description not available yet
VG2_SUM,Description not available yet
VG3_DIV,Description not available yet
VG3_MUL,Description not available yet
VG3_SUM,Description not available yet
VG4A_DIV,Description not available yet
VG4A_MUL,Description not available yet
VG4A_SUM,Description not available yet
VG4_DIV,Description not available yet
VG4_MUL,Description not available yet
VG4_SUM,Description not available yet
VG5A_DIV,Description not available yet
VG5A_MUL,Description not available yet
VG5A_SUM,Description not available yet
VG5_DIV,Description not available yet
VG5_MUL,Description not available yet
VG5_SUM,Description not available yet
VP0_DIV,Description not available yet
VP0_MUL,Description not available yet
VP0_SUM,Description not available yet
VP1_DIV,Description not available yet
VP1_MUL,Description not available yet
VP1_SUM,Description not available yet
VP2_DIV,Description not available yet
VP2_MUL,Description not available yet
VP2_SUM,Description not available yet
VP3_MUL,Description not available yet
VP4_DIV,Description not available yet
VP4_SUM,Description not available yet
