HK_PAR,Description
BLK_D,Description not available yet
CLK_REF,Description not available yet
CPUID,Description not available yet
CPU_TEMP,Description not available yet
DEVSZ,Description not available yet
FWID,Description not available yet
FWREV,Description not available yet
PCBID,Description not available yet
POL_RCL,Description not available yet
POL_STO,Description not available yet
PWR_PAT,Description not available yet
PWR_STAT,Description not available yet
REVID,Description not available yet
RFS0_FLG,Description not available yet
RFS1_FLG,Description not available yet
RFS2_FLG,Description not available yet
RFS3_FLG,Description not available yet
RFS4_FLG,Description not available yet
START_BIAS,Description not available yet
START_PWR,Description not available yet
START_RCL_DIS,Description not available yet
SYS_RCL,Description not available yet
SYS_STO,Description not available yet
UID0,Description not available yet
UID1,Description not available yet
UID2,Description not available yet
UID3,Description not available yet
UID4,Description not available yet
UID5,Description not available yet
