HK_PAR,Description
DAC_REF,Description not available yet
IA_DIV,Description not available yet
IA_MUL,Description not available yet
IA_PGA,Description not available yet
IA_SUM,Description not available yet
ID0_DIV,Description not available yet
ID0_HK,Description not available yet
ID0_MUL,Description not available yet
ID0_SET,Description not available yet
ID0_SUM,Description not available yet
ID1_DIV,Description not available yet
ID1_HK,Description not available yet
ID1_MUL,Description not available yet
ID1_SET,Description not available yet
ID1_SUM,Description not available yet
ID2_DIV,Description not available yet
ID2_HK,Description not available yet
ID2_MUL,Description not available yet
ID2_SET,Description not available yet
ID2_SUM,Description not available yet
ID3_DIV,Description not available yet
ID3_HK,Description not available yet
ID3_MUL,Description not available yet
ID3_SET,Description not available yet
ID3_SUM,Description not available yet
ID4_DIV,Description not available yet
ID4_HK,Description not available yet
ID4_MUL,Description not available yet
ID4_SET,Description not available yet
ID4_SUM,Description not available yet
ID5_DIV,Description not available yet
ID5_HK,Description not available yet
ID5_MUL,Description not available yet
ID5_SET,Description not available yet
ID5_SUM,Description not available yet
ID_DIV,Description not available yet
ID_MUL,Description not available yet
ID_PGA,Description not available yet
ID_SUM,Description not available yet
IG0_DIV,Description not available yet
IG0_HK,Description not available yet
IG0_MUL,Description not available yet
IG0_SUM,Description not available yet
IG1_DIV,Description not available yet
IG1_HK,Description not available yet
IG1_MUL,Description not available yet
IG1_SUM,Description not available yet
IG2_DIV,Description not available yet
IG2_HK,Description not available yet
IG2_MUL,Description not available yet
IG2_SUM,Description not available yet
IG3_DIV,Description not available yet
IG3_HK,Description not available yet
IG3_MUL,Description not available yet
IG3_SUM,Description not available yet
IG4A_DIV,Description not available yet
IG4A_HK,Description not available yet
IG4A_MUL,Description not available yet
IG4A_SUM,Description not available yet
IG4_DIV,Description not available yet
IG4_HK,Description not available yet
IG4_MUL,Description not available yet
IG4_SUM,Description not available yet
IG5A_DIV,Description not available yet
IG5A_HK,Description not available yet
IG5A_MUL,Description not available yet
IG5A_SUM,Description not available yet
IG5_DIV,Description not available yet
IG5_HK,Description not available yet
IG5_MUL,Description not available yet
IG5_SUM,Description not available yet
IG_DIV,Description not available yet
IG_MUL,Description not available yet
IG_PGA,Description not available yet
IG_SUM,Description not available yet
IP0_DIV,Description not available yet
IP0_MUL,Description not available yet
IP0_SUM,Description not available yet
IP1_DIV,Description not available yet
IP1_MUL,Description not available yet
IP1_SUM,Description not available yet
IP2_DIV,Description not available yet
IP2_MUL,Description not available yet
IP2_SUM,Description not available yet
IP3_DIV,Description not available yet
IP3_MUL,Description not available yet
IP3_SUM,Description not available yet
IPIN0_HK,Description not available yet
IPIN0_SET,Description not available yet
IPIN1_HK,Description not available yet
IPIN1_SET,Description not available yet
IPIN2_HK,Description not available yet
IPIN2_SET,Description not available yet
IPIN3_HK,Description not available yet
IPIN3_SET,Description not available yet
IP_DIV,Description not available yet
IP_MUL,Description not available yet
IP_PGA,Description not available yet
IP_SUM,Description not available yet
MEAS_ID,Description not available yet
PIN0_CON,Description not available yet
PIN1_CON,Description not available yet
PIN2_CON,Description not available yet
PIN3_CON,Description not available yet
POL_MODE,Description not available yet
POL_PWR,Description not available yet
RFB0_FLG,Description not available yet
