HK_PAR,Description
DAC_EN,Description not available yet
DET0_BIAS,Description not available yet
DET0_GAIN,Description not available yet
DET0_OFFS,Description not available yet
DET1_BIAS,Description not available yet
DET1_GAIN,Description not available yet
DET1_OFFS,Description not available yet
DET2_BIAS,Description not available yet
DET2_GAIN,Description not available yet
DET2_OFFS,Description not available yet
DET3_BIAS,Description not available yet
DET3_GAIN,Description not available yet
DET3_OFFS,Description not available yet
GAIN_EN,Description not available yet
PRE_EN,Description not available yet
RFP_FLAG,Description not available yet
